timestamp,open,high,low,close,volume,MACD,Signal Line
2023-04-25,270.78,272.47,262.25,262.41,37852716,-24.70504886009138,-26.7211819990041
2023-04-24,270.13,273.6599,266.7101,270.42,33928186,-23.723454482578575,-26.121636495718995
2023-04-21,269.52,271.83,267.22,271.19,34510277,-22.622621799540582,-25.421833556483314
2023-04-20,276.71,280.3,270.0,271.04,42771326,-21.514304206852273,-24.640327686557107
2023-04-19,273.61,280.0,272.32,279.31,35866041,-19.741071856947144,-23.660476520635118
2023-04-18,275.335,281.1,273.57,276.67,60481154,-18.337416063067735,-22.595864429121644
2023-04-17,265.655,270.06,264.3318,270.02,31348982,-17.55919666828396,-21.588530876954106
2023-04-14,265.04,268.83,262.2,267.58,39566013,-16.944019687546984,-20.659628639072682
2023-04-13,267.34,268.869,263.29,264.63,35361528,-16.50427681446189,-19.828558274150524
2023-04-12,273.7,274.6799,264.475,264.95,44625895,-15.946138930255984,-19.052074405371616
2023-04-11,277.235,277.9,271.26,271.69,31437817,-14.78946521550489,-18.19955256739827
2023-04-10,268.23,276.2099,266.69,275.79,39527855,-13.387632929412064,-17.23716863980103
2023-04-06,265.84,270.8,264.27,270.37,39765434,-12.569130335699299,-16.303560978980684
2023-04-05,268.29,269.98,263.95,268.81,51501474,-11.90905986671413,-15.424660756527373
2023-04-04,279.66,280.0,273.07,274.53,36859153,-10.799898560623603,-14.49970831734662
2023-04-03,275.09,280.0,273.36,279.65,39871560,-9.39938872182762,-13.47964439824282
2023-03-31,271.4,278.3431,271.05,277.77,43393277,-8.344979147593392,-12.452711348112935
2023-03-30,272.29,274.99,271.02,273.83,36451574,-7.738077297152415,-11.509784537920831
2023-03-29,268.25,270.78,265.97,269.84,39369387,-7.4926917756143325,-10.70636598545953
2023-03-28,264.47,265.13,258.5,264.1,35610378,-7.672943098903659,-10.099681408148356
2023-03-27,268.37,270.0,263.65,265.31,36102574,-7.630200482120074,-9.605785222942702
2023-03-24,270.31,271.67,263.55,267.79,45541407,-7.311924067464815,-9.147012991847125
2023-03-23,271.155,274.99,266.9,271.91,56488876,-6.650574465470413,-8.647725286571783
2023-03-22,264.25,275.89,262.37,264.68,79729511,-6.633385182250095,-8.244857265707445
2023-03-21,261.8,263.92,253.81,261.99,54740776,-6.758910556567457,-7.9476679238794485
2023-03-20,256.15,260.24,251.2983,259.0,43274719,-7.018750544348109,-7.761884447973181
2023-03-17,259.82,263.99,256.68,257.25,84854656,-7.281944260764874,-7.66589641053152
2023-03-16,240.27,255.88,238.94,255.41,58494626,-7.551945670940256,-7.6431062626132675
2023-03-15,237.61,242.86,233.6,242.28,52448574,-8.724830585796326,-7.85945112724988
2023-03-14,234.96,242.19,234.6,240.63,47491013,-9.675953176229996,-8.222751537045903
2023-03-13,227.52,232.98,222.97,229.66,42189032,-11.185967135387642,-8.81539465671425
2023-03-10,234.09,236.27,227.26,229.65,47486565,-12.24234881694548,-9.500785488760496
2023-03-09,241.75,244.54,233.8284,234.36,50125699,-12.554757840195151,-10.111579959047427
2023-03-08,234.87,242.0,234.235,241.81,51357339,-12.062146586727579,-10.501693284583459
2023-03-07,236.0,241.25,232.41,232.88,51515388,-12.251101911370029,-10.851575009940774
2023-03-06,238.91,242.48,234.87,235.54,43742923,-12.047336403196823,-11.090727288591985
2023-03-03,233.2,239.0,231.3,238.9,41239330,-11.48236529105887,-11.169054889085363
2023-03-02,224.88,233.804,224.32,233.14,39007465,-11.368358120112504,-11.208915535290792
2023-03-01,231.92,232.5557,225.08,226.98,46002562,-11.64087833523871,-11.295308095280376
2023-02-28,233.72,238.25,232.06,232.16,45596280,-11.308512368910357,-11.297948950006372
2023-02-27,236.7,238.7994,234.54,235.01,45299367,-10.6918893198621,-11.17673702397752
2023-02-24,232.25,234.74,229.47,232.86,58971591,-10.258445172375758,-10.993078653657168
2023-02-23,234.4,238.88,230.25,236.64,111799541,-9.500408359702647,-10.694544594866265
2023-02-22,207.07,211.04,204.21,207.54,51318432,-11.119605633423703,-10.779556802577755
2023-02-21,210.0,214.938,206.18,206.55,41001455,-12.340462692510869,-11.091737980564378
2023-02-17,216.31,217.4,209.75,213.88,46588764,-12.571613235185879,-11.387713031488678
2023-02-16,221.33,225.5,219.268,220.02,41202628,-12.119647270214017,-11.534099879233747
2023-02-15,225.49,228.55,221.06,227.64,42118826,-11.01956399543306,-11.431192702473611
2023-02-14,215.78,230.488,213.66,229.71,67547350,-9.866968107836215,-11.118347783546133
2023-02-13,215.38,220.48,209.62,217.88,47491862,-9.795196764473019,-10.853717579731512
2023-02-10,216.9,220.7764,208.11,212.65,55073675,-10.044547458254328,-10.691883555436075
2023-02-09,226.06,230.2,221.2,223.37,52387578,-9.270283215966117,-10.407563487542083
2023-02-08,223.87,228.78,220.0801,222.05,55965122,-8.663320824247819,-10.058714954883232
2023-02-07,213.82,222.59,211.5,221.73,66414961,-8.114580251542634,-9.669888014215113
2023-02-06,208.06,215.7,207.86,210.89,45219709,-8.456910797126369,-9.427292570797364
2023-02-03,210.0,217.4499,207.89,211.0,42936595,-8.61996850894127,-9.265827758426147
2023-02-02,210.0,219.49,207.0,217.09,56427580,-8.163675052284106,-9.045397217197738
2023-02-01,196.91,211.92,196.11,209.43,66047704,-8.324200975959712,-8.901157968950134
2023-01-31,191.695,196.87,189.5,195.37,49801658,-9.476701902190342,-9.016266755598176
2023-01-30,199.5,201.4,191.5,191.62,48861115,-10.570807164596829,-9.327174837397907
2023-01-27,194.62,206.28,194.05,203.65,54214198,-10.347888983694787,-9.531317666657284
2023-01-26,197.01,201.66,192.78,198.02,48953542,-10.504430135595555,-9.725940160444939
2023-01-25,189.125,193.7,185.8,193.23,44953711,-10.889475993801597,-9.958647327116271
2023-01-24,188.27,194.95,188.2,192.65,49620410,-11.113321312979537,-10.189582124288924
2023-01-23,180.64,192.45,178.175,191.93,65516259,-11.219487060905493,-10.395563111612239
2023-01-20,170.11,178.56,168.25,178.39,56496712,-12.254921911150547,-10.7674348715199
2023-01-19,170.36,171.97,167.31,167.65,45293160,-13.783254948679854,-11.370598886951893
2023-01-18,176.67,178.73,172.82,173.77,43962355,-14.335387613995692,-11.963556632360653
2023-01-17,168.99,177.28,168.99,177.02,51110216,-14.345344686661946,-12.439914243220914
2023-01-13,162.78,169.22,161.65,168.99,44728706,-14.83023590101115,-12.917978574778962
2023-01-12,161.0,166.37,154.92,165.11,55140906,-15.350646557256141,-13.4045121712744
2023-01-11,158.3951,160.28,155.63,160.01,35328493,-15.990277167621798,-13.92166517054388
2023-01-10,155.07,159.6199,154.72,159.09,38410126,-16.38257719377583,-14.413847575190271
2023-01-09,152.84,160.56,151.41,156.28,50423056,-16.727398271887694,-14.876557714529756
2023-01-06,144.74,150.1,140.34,148.59,40504362,-17.42037890833558,-15.385321953290921
2023-01-05,144.91,145.64,141.4795,142.65,38916811,-18.23863577269404,-15.955984717171546
2023-01-04,145.67,148.53,142.41,147.49,43132360,-18.28577564337158,-16.421942902411555
2023-01-03,148.51,149.96,140.96,143.15,40127658,-18.460534509077632,-16.829661223744772
2022-12-30,143.34,146.2899,142.33,146.14,31048983,-18.148558868145585,-17.093440752624936
2022-12-29,144.02,146.83,142.27,146.03,35492324,-17.706087253533383,-17.215970052806625
2022-12-28,139.27,142.62,138.84,140.36,35106645,-17.609950378796896,-17.29476611800468
2022-12-27,150.74,151.0,140.56,141.21,46490226,-17.26614000253562,-17.28904089491087
2022-12-23,151.96,153.39,148.83,152.06,34932563,-15.934480704866104,-17.018128856901917
2022-12-22,160.935,161.38,148.82,153.39,56504527,-14.603471503502618,-16.53519738622206
2022-12-21,161.14,166.27,161.02,165.01,32502538,-12.467285132024102,-15.721614935382469
2022-12-20,160.64,163.1,158.52,160.85,40325979,-10.983409369389648,-14.773973822183907
2022-12-19,165.72,166.09,161.45,162.54,35403877,-9.560846770523455,-13.731348411851817
